word,pos,description
흐뭇한,Adjective,형용사
어지러웠다,Adjective,형용사
입니다는,Adjective,형용사
부유함의,Adjective,형용사
있다네요,Adjective,형용사
참신했다,Adjective,형용사
아쉬운,Adjective,형용사
그러해서도,Adjective,형용사
미만큼은,Adjective,형용사
젊어지는,Adjective,형용사
낮고,Adjective,형용사
힘들다는,Adjective,형용사
반하며,Adjective,형용사
있거든,Adjective,형용사
괜찮았어요,Adjective,형용사
자만하지,Adjective,형용사
좋을까,Adjective,형용사
미치겠네,Adjective,형용사
간결하며,Adjective,형용사
원했고,Adjective,형용사
완전함,Adjective,형용사
뻔해도,Adjective,형용사
그러는지,Adjective,형용사
성공하신,Adjective,형용사
무섭다,Adjective,형용사
아려오는,Adjective,형용사
그렇고,Adjective,형용사
수줍고,Adjective,형용사
설렘이지만,Adjective,형용사
무거우면,Adjective,형용사
서글퍼,Adjective,형용사
있겠구나,Adjective,형용사
어떻든지,Adjective,형용사
저래,Adjective,형용사
당하다가,Adjective,형용사
애매해졌다,Adjective,형용사
그러함에도,Adjective,형용사
그럽니다,Adjective,형용사
허접스러,Adjective,형용사
심했나,Adjective,형용사
진지할,Adjective,형용사
확실합니다,Adjective,형용사
신선하기도,Adjective,형용사
없구,Adjective,형용사
뿐이겠나,Adjective,형용사
별다르게,Adjective,형용사
없데요,Adjective,형용사
없나보다,Adjective,형용사
어질까,Adjective,형용사
높습니까,Adjective,형용사
다르고,Adjective,형용사
통쾌하다고,Adjective,형용사
조았음,Adjective,형용사
활발한,Adjective,형용사
즐거워요,Adjective,형용사
당하게,Adjective,형용사
잔인해,Adjective,형용사
재밌으면,Adjective,형용사
평범할지,Adjective,형용사
간절히,Adjective,형용사
예쁘든,Adjective,형용사
빈약합니다,Adjective,형용사
까만,Adjective,형용사
좌음,Adjective,형용사
득실한,Adjective,형용사
뛰어나진,Adjective,형용사
순히,Adjective,형용사
어설플,Adjective,형용사
부운듯,Adjective,형용사
애매하나,Adjective,형용사
어때,Adjective,형용사
활기차면서,Adjective,형용사
말라나는,Adjective,형용사
즐거워서,Adjective,형용사
숭고한,Adjective,형용사
애절함,Adjective,형용사
연연하지,Adjective,형용사
날렵할,Adjective,형용사
찝찝함,Adjective,형용사
성급한,Adjective,형용사
어려운,Adjective,형용사
부당하게,Adjective,형용사
화려하지는,Adjective,형용사
한결같구나,Adjective,형용사
아니긴,Adjective,형용사
덜하여,Adjective,형용사
