word,pos,description
약제사,NNG,보통 명사
기국,NNG,보통 명사
상도,NNG,보통 명사
의미,NNG,보통 명사
기억,NNG,보통 명사
원작자,NNG,보통 명사
회피,NNG,보통 명사
실제,NNG,보통 명사
위안부,NNG,보통 명사
이,NNG,보통 명사
비교,NNG,보통 명사
기력,NNG,보통 명사
걱정,NNG,보통 명사
놈,NNG,보통 명사
비가,NNG,보통 명사
먹칠,NNG,보통 명사
물질,NNG,보통 명사
면,NNG,보통 명사
감흥,NNG,보통 명사
용맹,NNG,보통 명사
수사,NNG,보통 명사
구림,NNG,보통 명사
직업,NNG,보통 명사
범벅,NNG,보통 명사
휴지,NNG,보통 명사
오피스,NNG,보통 명사
제일,NNG,보통 명사
티비,NNG,보통 명사
코드,NNG,보통 명사
죽,NNG,보통 명사
작반,NNG,보통 명사
작위적,NNG,보통 명사
로,NNG,보통 명사
감점,NNG,보통 명사
소름,NNG,보통 명사
갱년기,NNG,보통 명사
퇴행,NNG,보통 명사
온,NNG,보통 명사
코믹,NNG,보통 명사
잔당,NNG,보통 명사
중점,NNG,보통 명사
누나,NNG,보통 명사
현,NNG,보통 명사
타지,NNG,보통 명사
백배,NNG,보통 명사
전락,NNG,보통 명사
산도,NNG,보통 명사
감상,NNG,보통 명사
노고,NNG,보통 명사
조선인,NNG,보통 명사
식,NNG,보통 명사
작가,NNG,보통 명사
피죽,NNG,보통 명사
요구,NNG,보통 명사
특유,NNG,보통 명사
스타일,NNG,보통 명사
수군,NNG,보통 명사
약간,NNG,보통 명사
함,NNG,보통 명사
전진,NNG,보통 명사
욕조,NNG,보통 명사
항,NNG,보통 명사
반도,NNG,보통 명사
볼만,NNG,보통 명사
시사회,NNG,보통 명사
지금,NNG,보통 명사
오랑캐,NNG,보통 명사
표절,NNG,보통 명사
하루,NNG,보통 명사
마지막,NNG,보통 명사
원맥,NNG,보통 명사
색,NNG,보통 명사
용서,NNG,보통 명사
상상,NNG,보통 명사
기승,NNG,보통 명사
옥이,NNG,보통 명사
일어,NNG,보통 명사
량,NNG,보통 명사
엔딩,NNG,보통 명사
프로,NNG,보통 명사
작인,NNG,보통 명사
밤,NNG,보통 명사
작전,NNG,보통 명사
전작,NNG,보통 명사
모자,NNG,보통 명사
국민,NNG,보통 명사
스트레스,NNG,보통 명사
급감,NNG,보통 명사
불가,NNG,보통 명사
국내,NNG,보통 명사
체,NNG,보통 명사
무대,NNG,보통 명사
고통,NNG,보통 명사
밖,NNG,보통 명사
류,NNG,보통 명사
취향,NNG,보통 명사
방의,NNG,보통 명사
억지,NNG,보통 명사
포인트,NNG,보통 명사
발,NNG,보통 명사
정도,NNG,보통 명사
떼,NNG,보통 명사
며칠,NNG,보통 명사
인상,NNG,보통 명사
조절,NNG,보통 명사
수가,NNG,보통 명사
나태,NNG,보통 명사
방법,NNG,보통 명사
완성도,NNG,보통 명사
보이,NNG,보통 명사
루지,NNG,보통 명사
바,NNG,보통 명사
의,NNG,보통 명사
필요,NNG,보통 명사
최악,NNG,보통 명사
뒤통수,NNG,보통 명사
극중,NNG,보통 명사
효도,NNG,보통 명사
갓,NNG,보통 명사
선택,NNG,보통 명사
있음,NNG,보통 명사
다음,NNG,보통 명사
정상인,NNG,보통 명사
주입,NNG,보통 명사
유일,NNG,보통 명사
한산,NNG,보통 명사
수식어,NNG,보통 명사
아버지,NNG,보통 명사
살인,NNG,보통 명사
오버,NNG,보통 명사
투신,NNG,보통 명사
한국사,NNG,보통 명사
어린이,NNG,보통 명사
배,NNG,보통 명사
모,NNG,보통 명사
틈바구니,NNG,보통 명사
분,NNG,보통 명사
열연,NNG,보통 명사
역사,NNG,보통 명사
겁,NNG,보통 명사
공포,NNG,보통 명사
치킨,NNG,보통 명사
아래,NNG,보통 명사
여자,NNG,보통 명사
소재,NNG,보통 명사
개연성,NNG,보통 명사
이순,NNG,보통 명사
결정판,NNG,보통 명사
웃기,NNG,보통 명사
질려,NNG,보통 명사
활,NNG,보통 명사
고,NNG,보통 명사
모독,NNG,보통 명사
요인,NNG,보통 명사
회오리,NNG,보통 명사
말,NNG,보통 명사
아저씨,NNG,보통 명사
소,NNG,보통 명사
실천,NNG,보통 명사
후손,NNG,보통 명사
대결,NNG,보통 명사
공식,NNG,보통 명사
옛날,NNG,보통 명사
가도,NNG,보통 명사
넷,NNG,보통 명사
전체,NNG,보통 명사
감사,NNG,보통 명사
초등,NNG,보통 명사
당,NNG,보통 명사
목,NNG,보통 명사
김,NNG,보통 명사
참담,NNG,보통 명사
세,NNG,보통 명사
수구,NNG,보통 명사
밥솥,NNG,보통 명사
왕국,NNG,보통 명사
다구,NNG,보통 명사
스토브,NNG,보통 명사
화포,NNG,보통 명사
경악,NNG,보통 명사
레,NNG,보통 명사
추석,NNG,보통 명사
싸움,NNG,보통 명사
배가,NNG,보통 명사
리치,NNG,보통 명사
명,NNG,보통 명사
블록버스터,NNG,보통 명사
베테랑,NNG,보통 명사
과도,NNG,보통 명사
승,NNG,보통 명사
충신,NNG,보통 명사
내가,NNG,보통 명사
주간,NNG,보통 명사
충격,NNG,보통 명사
선,NNG,보통 명사
기적,NNG,보통 명사
ㄴ,NNG,보통 명사
장,NNG,보통 명사
카타르시스,NNG,보통 명사
고양,NNG,보통 명사
신경,NNG,보통 명사
모두,NNG,보통 명사
대왕,NNG,보통 명사
업적,NNG,보통 명사
극,NNG,보통 명사
답,NNG,보통 명사
형사,NNG,보통 명사
히,NNG,보통 명사
편,NNG,보통 명사
코미디,NNG,보통 명사
소리,NNG,보통 명사
닭,NNG,보통 명사
거지,NNG,보통 명사
중독,NNG,보통 명사
병기,NNG,보통 명사
여태,NNG,보통 명사
범죄,NNG,보통 명사
보시기,NNG,보통 명사
눈살,NNG,보통 명사
상업적,NNG,보통 명사
우리나라,NNG,보통 명사
관록,NNG,보통 명사
각본,NNG,보통 명사
대한민국,NNG,보통 명사
가요,NNG,보통 명사
불매,NNG,보통 명사
남자,NNG,보통 명사
컨텐츠,NNG,보통 명사
뒤,NNG,보통 명사
구성,NNG,보통 명사
어머니,NNG,보통 명사
여재,NNG,보통 명사
사회적,NNG,보통 명사
자체,NNG,보통 명사
척살,NNG,보통 명사
화생방,NNG,보통 명사
적인,NNG,보통 명사
국,NNG,보통 명사
감,NNG,보통 명사
실패,NNG,보통 명사
외,NNG,보통 명사
힐링,NNG,보통 명사
덕,NNG,보통 명사
나침반,NNG,보통 명사
통닭,NNG,보통 명사
인생,NNG,보통 명사
ㄹ,NNG,보통 명사
순수,NNG,보통 명사
색채,NNG,보통 명사
욕,NNG,보통 명사
피,NNG,보통 명사
반,NNG,보통 명사
미덕,NNG,보통 명사
신,NNG,보통 명사
개꿀,NNG,보통 명사
집,NNG,보통 명사
천만,NNG,보통 명사
오랫만,NNG,보통 명사
감정,NNG,보통 명사
부산항,NNG,보통 명사
